name,analyzer,ngram,seed,auc,ap,f1,th,fold_f1,fold_th,text_version
"H10-3 char(2,4)",char,"(2, 4)",0,0.786221062345575,0.5094135868463388,0.5852417302798982,0.2999999999999999,"0.5926,0.6517,0.5455,0.5714,0.6316","0.205,0.290,0.270,0.280,0.230",normalized
"H10-3 char(2,4)",char,"(2, 4)",1,0.7860821417585361,0.5024622161862654,0.5831202046035806,0.3049999999999999,"0.6286,0.5974,0.5679,0.6374,0.6216","0.335,0.305,0.320,0.220,0.340",normalized
"H10-3 char(2,4)",char,"(2, 4)",2,0.7856753028964942,0.5105018738362368,0.5853658536585366,0.31999999999999984,"0.5867,0.5867,0.6197,0.5664,0.6517","0.320,0.295,0.320,0.225,0.265",normalized
"H10-3 char(2,4)",char,"(2, 4)",3,0.7878980322891136,0.5069158901117811,0.5840220385674931,0.32999999999999985,"0.5806,0.5250,0.6087,0.7027,0.5915","0.300,0.290,0.230,0.315,0.330",normalized
"H10-3 char(2,4)",char,"(2, 4)",4,0.7847227045853716,0.5015180629883204,0.5722070844686649,0.32499999999999984,"0.5610,0.6139,0.5391,0.6154,0.7297","0.260,0.215,0.220,0.340,0.330",normalized
"H10-4 char(2,6)",char,"(2, 6)",0,0.7889200908937555,0.5118424260819829,0.5809768637532133,0.2999999999999999,"0.5926,0.6506,0.5556,0.5526,0.6458","0.210,0.310,0.320,0.280,0.225",normalized
"H10-4 char(2,6)",char,"(2, 6)",1,0.7888605534993103,0.5050852730556797,0.581151832460733,0.3099999999999999,"0.6286,0.5974,0.5641,0.6444,0.6216","0.330,0.310,0.320,0.225,0.330",normalized
"H10-4 char(2,6)",char,"(2, 6)",2,0.7885827123252329,0.5107504958311685,0.5873015873015873,0.3099999999999999,"0.5846,0.5867,0.6176,0.5676,0.6444","0.360,0.285,0.330,0.325,0.255",normalized
"H10-4 char(2,6)",char,"(2, 6)",3,0.7902696051678457,0.5111692698166008,0.5824742268041238,0.3049999999999999,"0.5870,0.5278,0.6087,0.6944,0.5825","0.300,0.315,0.225,0.325,0.210",normalized
"H10-4 char(2,6)",char,"(2, 6)",4,0.7877491888030007,0.5034395116177062,0.5728643216080402,0.2949999999999999,"0.5542,0.6337,0.5412,0.6098,0.7342","0.250,0.225,0.270,0.325,0.295",normalized
"H10-5 char(3,6)",char,"(3, 6)",0,0.7894360816456136,0.5107307753580961,0.5789473684210527,0.3049999999999999,"0.5981,0.6410,0.5600,0.5526,0.6275","0.215,0.320,0.300,0.280,0.220",normalized
"H10-5 char(3,6)",char,"(3, 6)",1,0.7891086259761653,0.504900183812987,0.5822102425876011,0.31499999999999984,"0.6286,0.5897,0.5714,0.6444,0.6377","0.320,0.300,0.300,0.230,0.345",normalized
"H10-5 char(3,6)",char,"(3, 6)",2,0.7892673923613522,0.5092282952935531,0.5897435897435898,0.2949999999999999,"0.5946,0.5909,0.6176,0.5753,0.6500","0.320,0.250,0.325,0.330,0.295",normalized
"H10-5 char(3,6)",char,"(3, 6)",3,0.7911130515891522,0.5133330002002382,0.5794871794871795,0.2999999999999999,"0.5870,0.5352,0.6087,0.6944,0.5941","0.295,0.315,0.230,0.320,0.220",normalized
"H10-5 char(3,6)",char,"(3, 6)",4,0.7881957192613394,0.504903387612786,0.5760869565217391,0.31499999999999984,"0.5634,0.6337,0.5455,0.6098,0.7342","0.325,0.225,0.225,0.325,0.295",normalized
