variant,seed,n_feat,auc,ap,f1,th
shape+fill,8,16,0.6674638062256268,0.3997320078289318,0.45674740484429066,0.1999999999999999
shape+fill,9,16,0.6769897893368526,0.41943319067430257,0.46126126126126127,0.2149999999999999
shape+fill,10,16,0.667056967363585,0.4034575099185078,0.45588235294117646,0.2149999999999999
shape+fill,11,16,0.69203290433333,0.4385280586090159,0.4720496894409938,0.2499999999999999
shape+fill,12,16,0.6751242843109042,0.41872160787350216,0.4633333333333333,0.19499999999999995
shape+fill,13,16,0.6785774531887236,0.40285121276110936,0.46678023850085176,0.1999999999999999
shape+fill,14,16,0.6707780545164075,0.4078030791933821,0.4523809523809524,0.18999999999999995
shape+fill,15,16,0.6646953173839271,0.39538642328534296,0.4522058823529412,0.21999999999999992
shape+fill,16,16,0.6909711541323913,0.43588469022604714,0.4690265486725664,0.2649999999999999
shape+fill,17,16,0.6770493267312978,0.4114978897197101,0.4538152610441767,0.23999999999999988
shape+fill,18,16,0.6573622949680978,0.3974575267746133,0.4574468085106383,0.2049999999999999
shape+fill,19,16,0.6750151324210881,0.4132263751100348,0.45555555555555555,0.21999999999999992
step+fill,0,16,0.6776645464738977,0.42036452330665053,0.48,0.23999999999999988
step+fill,1,16,0.6811276382507914,0.4090474184815423,0.46875,0.22499999999999992
step+fill,2,16,0.6852952558619526,0.4111866775539464,0.4742647058823529,0.2149999999999999
step+fill,3,16,0.6809391031683816,0.43061989034226317,0.4666666666666667,0.23499999999999993
step+fill,4,16,0.6911398434166527,0.4319785313698324,0.476,0.23499999999999993
step+fill,5,16,0.6702025263701042,0.41328053493684713,0.4565587734241908,0.18999999999999995
step+fill,6,16,0.6831022951665559,0.422794920699339,0.4810126582278481,0.2049999999999999
step+fill,7,16,0.6735961578534785,0.417145933762431,0.4527687296416938,0.17999999999999994
step+fill,8,16,0.67942089961003,0.4206007652604279,0.46153846153846156,0.19499999999999995
step+fill,9,16,0.685721940522143,0.4352934425722119,0.46258503401360546,0.18999999999999995
step+fill,10,16,0.675620429264614,0.41732705327898206,0.4594594594594595,0.18499999999999994
step+fill,11,16,0.700844438711214,0.4403028468017707,0.47715736040609136,0.18999999999999995
step+fill,12,16,0.6794903599035494,0.42930221734996976,0.4691358024691358,0.2049999999999999
step+fill,13,16,0.6890758804092204,0.42451352592873404,0.46885245901639344,0.17999999999999994
