name,seed,fold,fold_f1,fold_th,text_version
"H10-5 char(3,6)",3,0,0.5842696629213483,0.2999999999999999,raw
"H10-5 char(3,6)",3,1,0.5352112676056338,0.31499999999999984,raw
"H10-5 char(3,6)",3,2,0.6086956521739131,0.22999999999999993,raw
"H10-5 char(3,6)",3,3,0.6944444444444444,0.31999999999999984,raw
"H10-5 char(3,6)",3,4,0.594059405940594,0.21999999999999992,raw
"H10-5 char(3,6)",4,0,0.5633802816901409,0.32499999999999984,raw
"H10-5 char(3,6)",4,1,0.6336633663366337,0.22499999999999992,raw
"H10-5 char(3,6)",4,2,0.5454545454545454,0.22499999999999992,raw
"H10-5 char(3,6)",4,3,0.6097560975609756,0.32499999999999984,raw
"H10-5 char(3,6)",4,4,0.7341772151898734,0.2949999999999999,raw
