name,setting,seed,auc,ap,f1,th,fold_f1,fold_th
H12-5 full|future,"char_wb(1,3)",2,0.7828571995594232,0.5038018436825409,0.5784313725490197,0.2999999999999999,"0.5897,0.5714,0.6301,0.5614,0.6571","0.320,0.295,0.340,0.200,0.370"
H12-5 full|future,"char_wb(1,3)",3,0.7854470762177878,0.5016605822683765,0.580046403712297,0.2749999999999999,"0.5743,0.5205,0.6173,0.7027,0.6076","0.255,0.330,0.295,0.325,0.270"
H12-5 full|future,"char_wb(1,3)",4,0.7828274308622007,0.5006598938609692,0.576271186440678,0.23999999999999988,"0.5542,0.6263,0.5510,0.6250,0.7297","0.265,0.215,0.240,0.345,0.335"
H12-6 full|current|future,"char_wb(1,3)",0,0.7854966907131588,0.5095001453684151,0.5764411027568922,0.2999999999999999,"0.5926,0.6588,0.5641,0.5405,0.6531","0.180,0.335,0.300,0.305,0.200"
H12-6 full|current|future,"char_wb(1,3)",1,0.789098703077091,0.5067304884455293,0.5818181818181818,0.2549999999999999,"0.6207,0.6200,0.5647,0.6512,0.5974","0.265,0.210,0.320,0.225,0.330"
H12-6 full|current|future,"char_wb(1,3)",2,0.78658820961132,0.5071875372061118,0.582716049382716,0.2949999999999999,"0.6027,0.5789,0.6301,0.5714,0.6512","0.355,0.290,0.325,0.345,0.265"
H12-6 full|current|future,"char_wb(1,3)",3,0.7888208619030135,0.5106100265817447,0.5906976744186047,0.2699999999999999,"0.5833,0.5275,0.6190,0.7089,0.5974","0.285,0.250,0.270,0.290,0.270"
H12-6 full|current|future,"char_wb(1,3)",4,0.7845044008057395,0.5009424140477007,0.5762004175365344,0.22499999999999992,"0.5714,0.6186,0.5495,0.6250,0.7273","0.255,0.225,0.250,0.340,0.320"
H12-1 full,"char(2,6)",0,0.7889200908937555,0.5118424260819829,0.5809768637532133,0.2999999999999999,"0.5926,0.6506,0.5556,0.5526,0.6458","0.210,0.310,0.320,0.280,0.225"
H12-1 full,"char(2,6)",1,0.7888605534993103,0.5050852730556797,0.581151832460733,0.3099999999999999,"0.6286,0.5974,0.5641,0.6444,0.6216","0.330,0.310,0.320,0.225,0.330"
H12-1 full,"char(2,6)",2,0.7885827123252329,0.5107504958311685,0.5873015873015873,0.3099999999999999,"0.5846,0.5867,0.6176,0.5676,0.6444","0.360,0.285,0.330,0.325,0.255"
H12-1 full,"char(2,6)",3,0.7902696051678457,0.5111692698166008,0.5824742268041238,0.3049999999999999,"0.5870,0.5278,0.6087,0.6944,0.5825","0.300,0.315,0.225,0.325,0.210"
H12-1 full,"char(2,6)",4,0.7877491888030007,0.5034395116177062,0.5728643216080402,0.2949999999999999,"0.5542,0.6337,0.5412,0.6098,0.7342","0.250,0.225,0.270,0.325,0.295"
H12-2 current,"char(2,6)",0,0.7902993738650683,0.5174941664838584,0.5879396984924623,0.28999999999999987,"0.6071,0.6596,0.6053,0.5507,0.6437","0.205,0.255,0.295,0.310,0.260"
H12-2 current,"char(2,6)",1,0.7935838534586265,0.5133573639480691,0.5817409766454352,0.2499999999999999,"0.6279,0.6053,0.5783,0.6585,0.5797","0.280,0.300,0.290,0.260,0.325"
H12-2 current,"char(2,6)",2,0.7895948480308008,0.5146840308064747,0.5808080808080808,0.28999999999999987,"0.6027,0.6053,0.5915,0.5800,0.6571","0.310,0.290,0.305,0.250,0.315"
H12-2 current,"char(2,6)",3,0.7877094972067039,0.5081574410941461,0.5777777777777777,0.2599999999999999,"0.5714,0.5161,0.5867,0.6977,0.5926","0.305,0.260,0.285,0.270,0.275"
H12-2 current,"char(2,6)",4,0.7865683638131717,0.5018046933293523,0.5815217391304348,0.3049999999999999,"0.5814,0.6024,0.5373,0.6000,0.7733","0.250,0.275,0.315,0.305,0.305"
H12-3 future,"char(2,6)",0,0.7803070144973556,0.5017694907784859,0.5641025641025641,0.2999999999999999,"0.6061,0.6582,0.5312,0.5556,0.6197","0.240,0.325,0.345,0.300,0.310"
H12-3 future,"char(2,6)",1,0.783928872659436,0.49429456176518094,0.5757575757575758,0.2949999999999999,"0.6286,0.6154,0.5366,0.6170,0.6000","0.340,0.295,0.310,0.225,0.260"
H12-3 future,"char(2,6)",2,0.7810214632306975,0.48860529490725674,0.5721649484536082,0.3049999999999999,"0.5823,0.5714,0.5897,0.5714,0.6506","0.310,0.230,0.290,0.225,0.280"
H12-3 future,"char(2,6)",3,0.7830457346418329,0.4912042711911706,0.5726495726495726,0.2499999999999999,"0.5773,0.5055,0.6000,0.6933,0.5714","0.260,0.255,0.290,0.310,0.280"
H12-3 future,"char(2,6)",4,0.780634470166804,0.49672299044670076,0.5720930232558139,0.2699999999999999,"0.5301,0.6200,0.5591,0.6133,0.7368","0.270,0.220,0.250,0.350,0.295"
H12-4 current|future,"char(2,6)",0,0.7885430207289361,0.5150846792234753,0.5839793281653747,0.3049999999999999,"0.6140,0.6579,0.5676,0.5455,0.6531","0.180,0.345,0.305,0.295,0.210"
H12-4 current|future,"char(2,6)",1,0.7919763438086072,0.5026566704368771,0.5869565217391305,0.32499999999999984,"0.6389,0.6105,0.5750,0.6506,0.6133","0.330,0.240,0.325,0.245,0.335"
H12-4 current|future,"char(2,6)",2,0.7887811703067167,0.5040816703279642,0.5869565217391305,0.32499999999999984,"0.6027,0.5934,0.6389,0.5714,0.6494","0.335,0.235,0.325,0.360,0.315"
H12-4 current|future,"char(2,6)",3,0.7902596822687716,0.5060387344221517,0.5785536159600998,0.2949999999999999,"0.5778,0.5250,0.6186,0.6923,0.5867","0.300,0.290,0.205,0.305,0.305"
H12-4 current|future,"char(2,6)",4,0.7875507308215168,0.5032187842913234,0.582010582010582,0.31499999999999984,"0.5435,0.6122,0.5567,0.6027,0.7632","0.220,0.230,0.235,0.360,0.325"
H12-5 full|future,"char(2,6)",0,0.7863500600335395,0.5114509492153089,0.570694087403599,0.3099999999999999,"0.6018,0.6750,0.5195,0.5500,0.6598","0.175,0.335,0.310,0.275,0.205"
H12-5 full|future,"char(2,6)",1,0.7875507308215168,0.5032782854912337,0.5748792270531401,0.28999999999999987,"0.6301,0.5952,0.5432,0.6506,0.6216","0.335,0.280,0.325,0.240,0.335"
H12-5 full|future,"char(2,6)",2,0.7865683638131716,0.4977341250101277,0.5858585858585859,0.3049999999999999,"0.5867,0.5747,0.6061,0.5714,0.6591","0.335,0.245,0.350,0.315,0.250"
H12-5 full|future,"char(2,6)",3,0.7896543854252459,0.5059646011149483,0.5841121495327103,0.2699999999999999,"0.5686,0.5352,0.6024,0.6849,0.5789","0.245,0.325,0.265,0.310,0.285"
H12-5 full|future,"char(2,6)",4,0.7861416791529813,0.5044319995485221,0.5761904761904761,0.27999999999999986,"0.5366,0.6139,0.5510,0.6234,0.7368","0.255,0.210,0.235,0.355,0.315"
H12-6 full|current|future,"char(2,6)",0,0.7888704763983845,0.5143616752215145,0.578005115089514,0.2999999999999999,"0.6182,0.6582,0.5600,0.5500,0.6598","0.180,0.330,0.300,0.265,0.200"
H12-6 full|current|future,"char(2,6)",1,0.791609196542862,0.5030752004626834,0.5806451612903226,0.23499999999999993,"0.6301,0.6042,0.5600,0.6512,0.6197","0.335,0.220,0.345,0.225,0.355"
H12-6 full|current|future,"char(2,6)",2,0.7892277007650554,0.5031407481565311,0.5869565217391305,0.32999999999999985,"0.6027,0.6000,0.6301,0.5897,0.6410","0.345,0.230,0.325,0.330,0.285"
H12-6 full|current|future,"char(2,6)",3,0.7912916637724878,0.5086847302594393,0.5831325301204819,0.27999999999999986,"0.5800,0.5366,0.6122,0.6988,0.5814","0.245,0.280,0.185,0.280,0.235"
H12-6 full|current|future,"char(2,6)",4,0.788076644472449,0.5053713621901057,0.5772357723577236,0.2149999999999999,"0.5495,0.6095,0.5567,0.5882,0.7532","0.215,0.185,0.230,0.320,0.315"
