name,setting,seed,fold,fold_f1,fold_th
H12-6 full|current|future,"char_wb(1,3)",2,3,0.5714285714285714,0.34499999999999986
H12-6 full|current|future,"char_wb(1,3)",2,4,0.6511627906976745,0.2649999999999999
H12-6 full|current|future,"char_wb(1,3)",3,0,0.5833333333333334,0.28499999999999986
H12-6 full|current|future,"char_wb(1,3)",3,1,0.5274725274725275,0.2499999999999999
H12-6 full|current|future,"char_wb(1,3)",3,2,0.6190476190476191,0.2699999999999999
H12-6 full|current|future,"char_wb(1,3)",3,3,0.7088607594936709,0.28999999999999987
H12-6 full|current|future,"char_wb(1,3)",3,4,0.5974025974025974,0.2699999999999999
H12-6 full|current|future,"char_wb(1,3)",4,0,0.5714285714285714,0.2549999999999999
H12-6 full|current|future,"char_wb(1,3)",4,1,0.6185567010309279,0.22499999999999992
H12-6 full|current|future,"char_wb(1,3)",4,2,0.5494505494505495,0.2499999999999999
H12-6 full|current|future,"char_wb(1,3)",4,3,0.625,0.33999999999999986
H12-6 full|current|future,"char_wb(1,3)",4,4,0.7272727272727273,0.31999999999999984
H12-1 full,"char(2,6)",0,0,0.5925925925925926,0.2099999999999999
H12-1 full,"char(2,6)",0,1,0.6506024096385542,0.3099999999999999
H12-1 full,"char(2,6)",0,2,0.5555555555555556,0.31999999999999984
H12-1 full,"char(2,6)",0,3,0.5526315789473685,0.27999999999999986
H12-1 full,"char(2,6)",0,4,0.6458333333333334,0.22499999999999992
H12-1 full,"char(2,6)",1,0,0.6285714285714286,0.32999999999999985
H12-1 full,"char(2,6)",1,1,0.5974025974025974,0.3099999999999999
H12-1 full,"char(2,6)",1,2,0.5641025641025641,0.31999999999999984
H12-1 full,"char(2,6)",1,3,0.6444444444444445,0.22499999999999992
H12-1 full,"char(2,6)",1,4,0.6216216216216216,0.32999999999999985
H12-1 full,"char(2,6)",2,0,0.5846153846153846,0.3599999999999998
H12-1 full,"char(2,6)",2,1,0.5866666666666667,0.28499999999999986
H12-1 full,"char(2,6)",2,2,0.6176470588235294,0.32999999999999985
H12-1 full,"char(2,6)",2,3,0.5675675675675675,0.32499999999999984
H12-1 full,"char(2,6)",2,4,0.6444444444444445,0.2549999999999999
H12-1 full,"char(2,6)",3,0,0.5869565217391305,0.2999999999999999
H12-1 full,"char(2,6)",3,1,0.5277777777777778,0.31499999999999984
H12-1 full,"char(2,6)",3,2,0.6086956521739131,0.22499999999999992
H12-1 full,"char(2,6)",3,3,0.6944444444444444,0.32499999999999984
H12-1 full,"char(2,6)",3,4,0.5825242718446602,0.2099999999999999
H12-1 full,"char(2,6)",4,0,0.5542168674698795,0.2499999999999999
H12-1 full,"char(2,6)",4,1,0.6336633663366337,0.22499999999999992
H12-1 full,"char(2,6)",4,2,0.5411764705882353,0.2699999999999999
H12-1 full,"char(2,6)",4,3,0.6097560975609756,0.32499999999999984
H12-1 full,"char(2,6)",4,4,0.7341772151898734,0.2949999999999999
H12-2 current,"char(2,6)",0,0,0.6071428571428571,0.2049999999999999
H12-2 current,"char(2,6)",0,1,0.6595744680851063,0.2549999999999999
